,Q,U:0,U:1,U:2,k,nut,omega,p,vtkOriginalPointIds,Points:0,Points:1,Points:2
Q,1.0,-0.03477957152806725,-0.016247507236969376,-0.0192393867666042,0.033351068868907006,-0.042916934546128806,-0.0037943627316653723,-0.35473888940504417,0.023705255473530577,-0.005125907013412417,0.0003217871796401826,0.006229835461695642
U:0,-0.03477957152806725,1.0,-0.16480519811834618,0.10290003046478238,-0.5471858962358125,0.605315758586727,-0.4148519864181834,0.24006149295116289,-0.33493272398190616,-0.15073445320050072,-0.0005234949787228184,0.4365902661415604
U:1,-0.016247507236969376,-0.16480519811834618,1.0,-0.05617645715181628,-0.18883548424409957,-0.18459361097065177,0.07043193199039183,-0.009617773032390073,0.11100387753014919,0.046558470027621784,0.024691365500419317,-0.21403156842999127
U:2,-0.0192393867666042,0.10290003046478238,-0.05617645715181628,1.0,-0.07013280527855423,-0.031100437653017947,-0.014024525398120036,0.011485644660954194,-0.0052210635979163715,-0.09487470411459605,0.04715141404056658,0.07106904006035147
k,0.033351068868907006,-0.5471858962358125,-0.18883548424409957,-0.07013280527855423,1.0,-0.1923046710340519,0.345898942303552,-0.20519558421460288,0.12808727884615326,0.30954280889093777,0.002036166068497552,-0.05853556751504941
nut,-0.042916934546128806,0.605315758586727,-0.18459361097065177,-0.031100437653017947,-0.1923046710340519,1.0,-0.362519030000307,0.07269214570232134,-0.333476260899183,0.19106447806777094,0.03550021157453153,0.7284849828761615
omega,-0.0037943627316653723,-0.4148519864181834,0.07043193199039183,-0.014024525398120036,0.345898942303552,-0.362519030000307,1.0,-0.04212216018974835,0.29658377245750217,-0.012163639336832389,0.001075247363616424,-0.26150831025992743
p,-0.35473888940504417,0.24006149295116289,-0.009617773032390073,0.011485644660954194,-0.20519558421460288,0.07269214570232134,-0.04212216018974835,1.0,-0.05204798615910699,-0.11651175413014694,-0.00032975303554371984,0.00502572904133626
vtkOriginalPointIds,0.023705255473530577,-0.33493272398190616,0.11100387753014919,-0.0052210635979163715,0.12808727884615326,-0.333476260899183,0.29658377245750217,-0.05204798615910699,1.0,-0.28854138665431234,0.02248509825413762,-0.023484323449258295
Points:0,-0.005125907013412417,-0.15073445320050072,0.046558470027621784,-0.09487470411459605,0.30954280889093777,0.19106447806777094,-0.012163639336832389,-0.11651175413014694,-0.28854138665431234,1.0,-2.3071878405885355e-15,-0.00033981145892652496
Points:1,0.0003217871796401826,-0.0005234949787228184,0.024691365500419317,0.04715141404056658,0.002036166068497552,0.03550021157453153,0.001075247363616424,-0.00032975303554371984,0.02248509825413762,-2.3071878405885355e-15,1.0,2.0692382921150303e-18
Points:2,0.006229835461695642,0.4365902661415604,-0.21403156842999127,0.07106904006035147,-0.05853556751504941,0.7284849828761615,-0.26150831025992743,0.00502572904133626,-0.023484323449258295,-0.00033981145892652496,2.0692382921150303e-18,1.0
