root_distance,alpha_mean
0.0161291820732,71.23448430924164
0.0483871518443,46.37012757834476
0.0806617450107,36.87566106771983
0.113036979787,29.07023334365041
0.145479197198,22.86044215968483
0.177933705604,18.008427734020934
0.210363633223,14.614146155935101
0.242636392805,12.548184646007616
0.274795814731,10.74247129323994
0.306967502716,9.262915107325096
0.339156665901,8.075060133180488
0.371357111483,7.126818258786062
0.403564891943,6.427542705259925
0.43577944958,5.922647875437166
0.468000576676,5.576462832831082
0.500226089936,5.36649914174397
0.532456317764,5.240671747644697
0.564691011578,5.186679361832705
0.596927748924,5.213263723236862
0.629166917228,5.313244555469637
0.661408987133,5.452460967791832
0.693652862957,5.629129337443565
0.725897499348,5.7876099187986645
0.758143513154,5.916137617255632
0.790391559697,6.074794604345911
0.822639877007,6.271202829373234
0.854889191229,6.493954206759641
0.887139986266,6.742254734753224
0.919390257298,7.0019720784933375
0.951634927232,7.225858991520629
0.983876963719,7.3143779850590365
