tsr,ct
1.0000000000000004, 0.005740740740740743
1.5, 0.006481481481481484
2.1428571428571432, 0.015185185185185189
2.7619047619047605, 0.028888888888888884
3.738095238095237, 0.04944444444444445
4.714285714285713, 0.0675925925925926
5.428571428571428, 0.07555555555555556
6.571428571428571, 0.0712962962962963
7.571428571428569, 0.0638888888888889
8.642857142857142, 0.054999999999999986
10.07142857142857, 0.043888888888888894
11.714285714285714, 0.032962962962962965
13.928571428571429, 0.020185185185185184
15.952380952380953, 0.009629629629629632
17.666666666666664, 0.0005555555555555577
